,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
72,Culmo.Co Happy Panda Culmo.Co Terrible T-Rex,Other-Laser-cut,,671.0,205.0,Average,Average,2.0,2.0,2.0
73,Culmo.Co Puzzles Rainbow Dragon Lol Puzzles Mysterious Owl,Other-Laser-cut,,317.0,151.0,Average,Average,2.0,2.0,2.0
74,DaVici Good Morning DaVici The Life of Birds,DaVici,,170.0,145.0,A-Easy,A-Easy,2.0,1.0,1.0
75,DaVici In the Pantry DaVici Yana Fefelova Christmas Angel,DaVici,,130.0,250.0,A-Easy,Average,2.0,1.0,2.0
76,DaVici Puzzles Akhmatova Return DaVici Puzzles Fairy Tea Party,DaVici,,160.0,350.0,A-Easy,A-Easy,2.0,1.0,1.0
77,DaVici Puzzles Awakening DaVici Puzzles ,DaVici,,450.0,280.0,Average,Average,2.0,2.0,2.0
78,DaVici Puzzles Bathing Of The Colorful Dragon DaVici Puzzles Behind The Scenes (Aka Offstage),DaVici,,125.0,190.0,Average,Average,2.0,2.0,2.0
79,DaVici Puzzles Cow Ruga Puzzles Egyptian Cat,DaVici,,121.0,200.0,Average,Average,2.0,2.0,2.0
80,DaVici Puzzles Delicious Snow DaVici Puzzles Doll House,DaVici,,150.0,240.0,A-Easy,A-Easy,2.0,1.0,1.0
81,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,DaVici,,195.0,220.0,Hard,Hard,2.0,3.0,3.0
82,DaVici Puzzles Great Art of Light and Shadow DaVici Dreamlike Prince,DaVici,,160.0,180.0,Average,A-Easy,2.0,2.0,1.0
83,DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,DaVici,,230.0,200.0,Average,Average,2.0,2.0,2.0
84,DaVici Puzzles Ivan Tsarevich and The Grey Wolf DaVici Puzzles Masha Molodykh Offstage,DaVici,,180.0,190.0,Average,Average,2.0,2.0,2.0
85,DaVici Puzzles Jugglers DaVici Puzzles Pushkins Fairy Tales,DaVici,,210.0,300.0,Average,Average,2.0,2.0,2.0
86,DaVici Puzzles Meal Time DaVici Puzzles Attraction,DaVici,,400.0,240.0,A-Easy,Average,2.0,1.0,2.0
87,DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish,DaVici,,165.0,130.0,A-Easy,A-Easy,2.0,1.0,1.0
88,DaVici Puzzles Sergey Adeev Flying Frigate DaVici Puzzles The Life Of Birds,DaVici,,130.0,145.0,Average,Average,2.0,2.0,2.0
89,DaVici Puzzles Stephen Hawking DaVici Puzzles A Flower in the Soul,DaVici,,250.0,220.0,Average,Average,2.0,2.0,2.0
90,DaVici Puzzles Under the Red Umbrella ,DaVici,,600.0,,Hard,,1.0,3.0,
91,DaVici Puzzles Vladimir Zhdanov Lilac House DaVici Puzzles Sergey Adeev Day and Night,DaVici,,160.0,280.0,A-Easy,A-Easy,2.0,1.0,1.0
