pack_name,brand_0,brand_1,piece_count_0,piece_count_1,diff_0,diff_1,num_puzzles
Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Iwona Lifsches Jazzy Night,Artifact,,518,405,Average,Hard,2
Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Kahlil Rintye Cosmic Dragon,Artifact,,518,504,Average,Hard,2
Artifact Puzzles Tyukanov Purgatory Artifact Puzzles Rylov Sunset,Artifact,,659,80,Hard,Hard,2
Artifact Puzzles Van Gogh Bedroom In Arles Artifact Puzzles Bruegel Triumph of Death,Artifact,,347,361,Average,Average,2
Artifact Puzzles Van Gogh Pont De Trinquetaille Artifact Puzzles Vermeer Art Of Painting,Artifact,,327,323,Average,Average,2
Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,Artifact,,480,277,Average,Average,2
Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility,Artifact,,382,292,Average,A-Easy,2
Artifact Puzzles Vikram Madan Stop And Smell The Daisies Ecru Puzzles Ryoko Meditating Skeleton,Artifact,Ecru,171,81,Average,Average,2
BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks,Artifact,Other-Hand-cut,276,261,A-Easy,A-Easy,2
BCB Puzzles Teapot and Teacups Snowflake Puzzles Koganeibashi no sekishō,Other-Hand-cut,,120,511,Average,A-Easy,2
BellArt Ice Cream Sundae Turtle Teasers Sarah Pickett Red River,,,58,169,Average,Average,2
Bewilderness Puzzles Rainbow Eucalyptus Bewilderness Puzzles Gaj Vakra,Other-Laser-cut,,173,173,Average,Average,2
Boardwalk Puzzles Alexey Erofalov Amsterdam Boardwalk Puzzles Alexey Erofalov Australia,Other-Laser-cut,,311,318,Average,Average,2
Boardwalk Puzzles Alexey Erofalov California Boardwalk Puzzles Lake Como Italy,Other-Laser-cut,,327,325,A-Easy,A-Easy,2
Boardwalk Puzzles Tim Zeltner Journey East Boardwalk Puzzles Herb Schwartz New Animal Butterfly,Other-Laser-cut,,330,460,Average,Average,2
Chestnut And Hemlock Puzzles Mary Halym Two Apples On A Branch 3 Cat Max Puzzles,,,107,30,Average,Average,2
Chestnut and Hemlock Helen Hyde Feeding The Bunnies Chestnut and Hemlock Joris Hoefnagel Heart,,,175,175,Average,Average,2
