,member,hold_time,pack_name
162,member7,9.90122465996832,Artifact Puzzles Edward Hopper Chop Suey Artifact Puzzles Edward Hopper Nighthawks 
163,member7,6.964230681965243,"Nikolyaaa Red Boats Wheelgiant Balancing Boulder, Northern Territory, Australia"
164,member7,3.3423202604512268,Artifact Puzzles Karla Gerard By The Sea Ecru Puzzles Grant Haffner Sunset on Old Montauk Highway
165,member7,6.846203566216783,Thom Spencer Wheel Of Changing Colors Nervous System Geode Puzzle
166,member7,16.237101755353,Artifact Puzzles Bek Cruddace British Isles Map Artifact Puzzles Jim Flora Chioggia
167,member7,3.1977135670827894,Wentworth Puzzles Royce McClure Sky Roads DaVici Puzzles Sergey Adeev Flying Frigate
168,member7,3.3734570415357408,Liberty Puzzles Linnea Pergola Metropolitain Liberty Puzzles Linnea Pergola Lugano
169,member7,6.362971422384641,Artifact Puzzles Outsider Insider Artifact Puzzles Sophie Taeuber-Arp Composition
170,member7,8.055924665820058,DaVici Puzzles Nadezhda Strelkina Peace On Earth 
171,member7,3.9742039801270015,Nautilus Puzzles Vintage Tour De France 
172,member7,8.049657184030012,Ecru Puzzles Iris Scott The Discussion Ecru Puzzles Nico Klopp Martigues
173,member7,5.323230058590602,Artifact Puzzles Barnard Dragon Mountain Artifact Puzzles Angie Rees Happy Harbor
174,member7,3.15658888448897,DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage
175,member7,10.819369995735636,Liberty Puzzles Jane Tattersfield Birds Liberty Puzzles Castle Neuschwanstein
176,member7,3.9115465710899535,Artifact Puzzles Edward Hopper Chop Suey Ecru Puzzles Nico Klopp Martigues
177,member7,16.01058906068927,Unidragon Puzzles Eternal Elephant Unidragon Puzzles Serious Panda
178,member7,20.952269339834988,Wentworth Puzzles Elena Kotliarker Hannukah in the Magic Garden Wentworth Puzzles Colin Thompson Bookshelf
179,member7,7.730914639473773,Liberty Puzzles United Nations Tour of Jordan
180,member7,11.031446281603843,Liberty Puzzles Whimsical Map of San Diego 
181,member7,44.80776462043469,Stumpcraft Julien Deval Malediction 
182,member7,41.97773542439478,Ecru Puzzles Erin Hanson Cypress Lights Ecru Puzzles Richard Friend Limberlost
183,member7,14.612581480960174,Stumpcraft Puzzles Tom Thomson Soft Maple in Autumn 
184,member7,11.836826154891412,Mosaic Puzzles 18th Century French Tapestry Stave Puzzles All Shook Up
185,member7,17.738400786819987,Nautilus Vincent Van Gogh Rowing Boats on the Bank of the Oise 
186,member7,16.009014270927235,Puzzle Michele Wilson Helen Dardik Rainbow Bird Wongo Puzzles The Salamander
187,member7,5.93659359858309,Stave Puzzles Edith Bingham Give Me A Buzz Whimsy Puzzles Singing Fish
188,member7,5.776503757534098,Puzzlewood Handmade Puzzles Map of Europe Zen Puzzles Lion
189,member7,18.806845174736782,Liberty Puzzles Sue Coccia Frog 
190,member7,27.75224700215441,Snowflake Puzzles Peacocks and Poppies BCB Puzzles Miko A Wonderful Day
191,member7,11.359961850122891,Liberty Puzzles The Wonderous Isle of Manhattan 
192,member7,13.990582120332268,Liberty Puzzles Sue Coccia Bald Eagle Liberty Puzzles Sue Coccia Dolphin
193,member7,30.18002342736721,Liberty Puzzles Alan Paterson Historical Map of New Zealand 
194,member7,13.338002322182916,Liberty Puzzles Janice Larson Orchids in the East Window Liberty Puzzles Linnea Pergola Nantucket
195,member7,6.974283311163542,Liberty Puzzles Phil Lewis Let It Flow Liberty Puzzles Sue Coccia Grizzly Bear
196,member7,19.005779549964966,"Liberty Puzzles Vsevolod Niculin Bel Paese - Gastronomical Map of Italy Liberty Puzzles Giovanni Panini Interior of St. Peters, Rome"
197,member7,26.787607872411225,Liberty Puzzles Jan Davidson L.A. By Night Liberty Puzzles Gisbert Combaz La Libre Esthetique
198,member7,22.88239478011117,Liberty Puzzles Isaac Grunewald The Blue Pergola Liberty Puzzles Claude Monet The Artists Garden at Vetheuil
199,member7,18.994138079721147,Liberty Puzzles Phil Lewis Foxy Liberty Puzzles Henri Matisse The Pink Tablecloth
200,member8,35.494185129261496,Artifact Puzzles Victor Molev Tale Of The Lost Space Ecru Puzzles Aaron Wolf The Kingdom
201,member8,67.30972350946267,Liberty Puzzles Lynon Aksamit Octopus 
202,member8,7.127764374723229,Artifact Puzzles Edward Hopper Nighthawks Artifact Puzzles Munch The Scream
203,member8,8.279399415010035,Wild Poppies Puzzles Claude Monet Poppy Field  Unidragon Puzzles Playful Parrots
204,member8,14.058486285438669,Ecru Puzzles Ton Dubbeldam Grand Italia Artifact Puzzles Michelle Morin Hummingbirds
205,member8,53.8691850714968,Mr. Gogo Puzzles Watermelon TurtleTeasers Melissa Lipton Colorado Aspens
206,member9,16.082960642058982,BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks
207,member9,10.167226221189065,Snowflake Puzzles Koganeibashi no sekishō Snowflake Puzzles Utagawa Hiroshige Zojoji Pagoda and Akabane
208,member9,8.161494159713877,Liberty Puzzles Ditz Patchwork-Birds Liberty Puzzles A Resounding Success
209,member9,12.078834709358716,Ecru Puzzles William Penhallow Henderson Lucero Place Artifact Puzzles Georges Seurat Grand Jatte
210,member9,25.393385926647152,DaVici Puzzles Diana Zimens City Of Cats 
211,member9,9.38098764339132,Stave Puzzles Steve Skelton Farm To Table 
212,member10,3.1714075217209143,Puzzlewood Handmade Puzzles Map of Europe Zen Puzzles Lion
213,member10,7.276156293648877,Ecru Puzzles - Tomasz Pietrzyk Family House Ecru Puzzles Allen Gilbert Cram Fishermans Cottages
214,member10,2.1342280381397685,DaVici Puzzles Dmitry Alekseev Biscuit Mountain DaVici Puzzles Sergey Adeev Flying Frigate
215,member10,10.868916827927176,Artifact Puzzles Iwona Lifsches Santa Claus Delivery Wentworth Puzzles Do not Disturb 
216,member10,10.680986848133392,Artifact Puzzles Randal Spangler Computer Catastrophes Artifact Puzzles Bruce Riley Stem Cell
217,member10,9.305858006988784,Ecru Roch Urbaniak Bosfor Artifact Puzzles Seurat Eiffel Tower
218,member10,27.33187877182626,DaVici Puzzles Sergey Adeev On Land and Sea DaVici Puzzles Masha Molodykh Offstage
