,name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
160,DaVici Puzzles Diana Zimens City Of Cats ,0.0,700.0,0.0,0.0,1
161,Artifact Puzzles Jethro Buck Wild Things ,0.0,0.0,539.0,0.0,1
162,Ecru Puzzles William Penhallow Henderson Lucero Place Artifact Puzzles Jonik Rapunzel ,385.0,0.0,0.0,0.0,1
163,Artifact Puzzles Great Robot Migration ,0.0,0.0,480.0,0.0,1
164,Anne Belle Thompson The Mikado Anne Belle Thompson Two Kimonos,0.0,629.0,0.0,0.0,2
165,Anthology Puzzles Alphonse Mucha La Plume Anthology Puzzles Fun at the Fair,0.0,480.0,0.0,0.0,2
166,Anthology Puzzles Colorful Cat Anthology Puzzles Life On The Reef,0.0,320.0,0.0,0.0,2
167,Anthology Puzzles Framed American Gothic Anthology Puzzles Haeckel Floral,0.0,620.0,0.0,0.0,2
168,Anthology Puzzles Over The Moon Anthology Puzzles Happy House Plants,177.0,0.0,278.0,0.0,2
169,Anthology Puzzles Wassily Kandinsky Houses At Murnau Anthology Puzzles Kite Flite,150.0,0.0,320.0,0.0,2
170,Artifact Puzzles Abraham Storck Arctic Artifact Puzzles Klimt Hope,213.0,0.0,0.0,0.0,2
171,Artifact Puzzles After the Tiger Hunt Artifact Puzzles Monet Chrysanthemums,0.0,635.0,0.0,0.0,2
172,Artifact Puzzles Amedeo Simonetti Artifact Puzzles Renoir Pears,166.0,0.0,269.0,0.0,2
173,Artifact Puzzles Breach Of Contract Artifact Puzzles Claire Henley Sailing Round The Mount,0.0,524.0,0.0,0.0,2
174,Artifact Puzzles Captive Unicorn Artifact Puzzles David Teniers Temptation of St. Anthony,0.0,0.0,369.0,0.0,2
175,Artifact Puzzles Christopher Wood Anemones Artifact Puzzles Paul Bond Interpretation Of Home,0.0,323.0,0.0,0.0,2
176,Artifact Puzzles Daniel Merriam Man In The Moon Artifact Puzzles Daniel Merriam  Tailspin,0.0,357.0,303.0,0.0,2
177,Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,364.0,0.0,0.0,0.0,2
178,Artifact Puzzles Erin Hanson Crystal Grove Artifact Puzzles Angie Rees Precious Cargo,0.0,399.0,0.0,357.0,2
179,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Jethro Buck Fishies,0.0,0.0,418.0,355.0,2
180,Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,0.0,831.0,0.0,0.0,2
181,Artifact Puzzles Florine Stettheimer Asbury Park South Artifact Puzzles Kandinsky Squares with Concentric Circles,0.0,291.0,0.0,0.0,2
182,Artifact Puzzles Gustav Klimt Baby Artifact Puzzles Karla Gerard By The Sea,356.0,295.0,0.0,0.0,2
183,Artifact Puzzles Henri Charles Manguin Les Renoncules Artifact Puzzles Sakakibara Shiho Early Spring,282.0,0.0,0.0,0.0,2
184,Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Justin Hillgrove Word Travels South,802.0,0.0,0.0,0.0,2
185,Artifact Puzzles Jethro Buck Fishies Artifact Puzzles Jim Flora Tampico,296.0,0.0,0.0,355.0,2
186,Artifact Puzzles Joan de Burgunya Virgin and Child Artifact Puzzles Bruegel Tower of Babel,0.0,768.0,0.0,0.0,2
187,Artifact Puzzles Kandinsky Squares With Concentric Circles Artifact Puzzles Kandinsky Tensions Eased,0.0,317.0,0.0,0.0,2
188,Artifact Puzzles Kathryn Freeman Forest Nocturne Artifact Puzzles Hofmeister Flotilla Before Algiers,0.0,750.0,0.0,0.0,2
189,Artifact Puzzles Kathryn Freeman The Sunday Paper Artifact Puzzles Sandi Rigby Tree of Wisdom Wooden,177.0,68.0,0.0,0.0,2
190,Artifact Puzzles Kessel Bugs Double-sided  Artifact Puzzles Fernand Pelez Saltimbanques,0.0,288.0,0.0,0.0,2
191,Artifact Puzzles Liv Wan Australia Map Artifact Puzzles Iwona Lifsches Riders On The Storm,941.0,0.0,0.0,0.0,2
